"reason"	"schemaname"	"tablename"	"indexname"	"index_scan_pct"	"scans_per_write"	"index_size"	"table_size"
"Never Used Indexes"	"public"	"raw_adu"	"raw_adu_1_idx"	0.00	0.00	"3698 MB"	"6442 MB"
"Never Used Indexes"	"public"	"correlations_module"	"ix_correlations_module_report_date"	0.00	0.00	"2487 MB"	"6026 MB"
"Never Used Indexes"	"public"	"raw_adi"	"raw_adi_1_idx"	0.00	0.00	"857 MB"	"1396 MB"
"Never Used Indexes"	"public"	"signature_products"	"signature_products_product_version"	0.00	0.00	"598 MB"	"917 MB"
"Never Used Indexes"	"public"	"reports_20131125"	"reports_20131125_url"	0.00	0.00	"309 MB"	"2667 MB"
"Never Used Indexes"	"public"	"extensions_20131125"	"extensions_20131125_report_id_date_processed"	0.00	0.00	"289 MB"	"803 MB"
"Never Used Indexes"	"public"	"reports_20131111"	"reports_20131111_url"	0.00	0.00	"282 MB"	"2220 MB"
"Never Used Indexes"	"public"	"reports_20131104"	"reports_20131104_url"	0.00	0.00	"281 MB"	"2236 MB"
"Never Used Indexes"	"public"	"reports_20131118"	"reports_20131118_url"	0.00	0.00	"280 MB"	"2180 MB"
"Never Used Indexes"	"public"	"reports_20130930"	"reports_20130930_url"	0.00	0.00	"271 MB"	"2023 MB"
"Never Used Indexes"	"public"	"reports_20131021"	"reports_20131021_url"	0.00	0.00	"268 MB"	"2093 MB"
"Never Used Indexes"	"public"	"reports_20131028"	"reports_20131028_url"	0.00	0.00	"266 MB"	"2146 MB"
"Never Used Indexes"	"public"	"reports_20140203"	"reports_20140203_url"	0.00	0.00	"265 MB"	"2153 MB"
"Never Used Indexes"	"public"	"reports_20131014"	"reports_20131014_url"	0.00	0.00	"265 MB"	"1998 MB"
"Never Used Indexes"	"public"	"reports_20131007"	"reports_20131007_url"	0.00	0.00	"264 MB"	"1976 MB"
"Never Used Indexes"	"public"	"reports_20140210"	"reports_20140210_url"	0.00	0.00	"264 MB"	"2157 MB"
"Never Used Indexes"	"public"	"reports_20140623"	"reports_20140623_url"	0.00	0.00	"262 MB"	"2209 MB"
"Never Used Indexes"	"public"	"reports_20140217"	"reports_20140217_url"	0.00	0.00	"261 MB"	"2143 MB"
"Never Used Indexes"	"public"	"reports_20131202"	"reports_20131202_url"	0.00	0.00	"260 MB"	"2051 MB"
"Never Used Indexes"	"public"	"reports_20131209"	"reports_20131209_url"	0.00	0.00	"256 MB"	"2050 MB"
"Never Used Indexes"	"public"	"reports_20140120"	"reports_20140120_url"	0.00	0.00	"255 MB"	"2109 MB"
"Never Used Indexes"	"public"	"reports_20140127"	"reports_20140127_url"	0.00	0.00	"254 MB"	"2104 MB"
"Never Used Indexes"	"public"	"extensions_20140623"	"extensions_20140623_report_id_date_processed"	0.00	0.00	"251 MB"	"787 MB"
"Never Used Indexes"	"public"	"reports_20140908"	"reports_20140908_url"	0.00	0.00	"250 MB"	"2225 MB"
"Never Used Indexes"	"public"	"reports_20131216"	"reports_20131216_url"	0.00	0.00	"249 MB"	"2005 MB"
"Never Used Indexes"	"public"	"reports_20140630"	"reports_20140630_url"	0.00	0.00	"248 MB"	"2079 MB"
"Never Used Indexes"	"public"	"reports_20140113"	"reports_20140113_url"	0.00	0.00	"248 MB"	"2029 MB"
"Never Used Indexes"	"public"	"reports_20140106"	"reports_20140106_url"	0.00	0.00	"243 MB"	"2006 MB"
"Never Used Indexes"	"public"	"reports_20140317"	"reports_20140317_url"	0.00	0.00	"243 MB"	"2105 MB"
"Never Used Indexes"	"public"	"reports_20140811"	"reports_20140811_url"	0.00	0.00	"243 MB"	"2018 MB"
